q1,q2,q3,q4,q5,q6,q7,x,y,z
-69,-119,-91,58,77,-89,52,-0.211,0.377,0.94
-86,-116,-94,3,43,3,-109,0.468,-0.113,0.255
-23,-64,1,104,11,-65,135,-0.158,0.065,0.412
-139,0,166,28,-171,-16,48,0.177,0.299,0.659
-87,45,-50,143,45,21,-32,0.257,0.346,0.85
-54,-59,83,43,116,97,127,0.238,0.406,0.095
-114,-38,157,115,-69,9,85,-0.178,-0.297,0.632
35,44,-29,102,140,-5,-53,0.54,-0.19,0.661
15,23,152,55,-162,-28,166,0.586,0.074,0.219
-23,-27,-56,38,165,-45,-40,0.701,-0.45,0.548
1,10,-11,32,-107,64,166,-0.16,-0.565,-0.322
-76,-49,-129,32,133,82,2,0.598,-0.414,1.019
-139,-24,67,70,58,-41,24,-0.051,-0.243,0.736
-124,-85,41,48,-99,81,116,-0.068,-0.072,-0.357
-66,-61,-127,14,8,-11,26,-0.057,0.665,0.394
-15,-64,75,106,149,-57,5,0.485,0.679,0.387
46,-67,-48,33,96,64,-80,-0.583,0.528,0.19
28,48,3,118,142,-75,110,0.679,-0.173,0.317
-56,44,30,104,74,14,54,-0.33,-0.321,0.582
-89,14,121,87,-42,6,-136,-0.23,-0.898,0.5
38,-13,41,37,43,79,-48,0.016,0.191,0.732
23,-20,63,87,-128,61,-36,0.213,0.586,0.31
-51,-114,-91,54,-144,6,-92,0.302,0.438,0.34
-124,-77,149,58,-95,26,-118,0.768,-0.092,0.082
41,58,142,124,-102,43,-17,-0.522,-0.161,-0.082
36,-4,119,101,-21,104,-95,-0.402,-0.403,-0.121
-70,-56,169,8,170,85,79,-0.151,-0.326,0.704
-75,-119,-26,58,-112,-79,81,0.267,-0.281,0.459
-78,-96,116,101,143,-6,-50,0.46,0.789,-0.006
-138,-92,-23,109,-175,6,-32,0.363,0.364,-0.306
-34,-106,-95,2,-106,50,91,-0.542,0.531,0.494
-123,7,-149,15,171,-82,7,-0.711,-0.053,0.117
